palabra,cnt,ciudad
Covid,0.058823529411764705,Medellín
si,0.058823529411764705,Medellín
disfraz,0.058823529411764705,Medellín
fin semana,0.058823529411764705,Medellín
riesgos contagio,0.058823529411764705,Medellín
Triqui,0.047058823529411764,Medellín
cuido,0.047058823529411764,Medellín
dulces,0.047058823529411764,Medellín
hoy,0.047058823529411764,Medellín
especial,0.047058823529411764,Medellín
puede,0.047058823529411764,Medellín
gracias,0.047058823529411764,Medellín
pa,0.047058823529411764,Medellín
opción,0.047058823529411764,Medellín
Medellín,0.047058823529411764,Medellín
medidas,0.047058823529411764,Medellín
siempre,0.047058823529411764,Medellín
mejor,0.047058823529411764,Medellín
mañana,0.047058823529411764,Medellín
solo,0.03529411764705882,Medellín
gusta,0.03529411764705882,Medellín
cosa,0.03529411764705882,Medellín
festivo,0.03529411764705882,Medellín
hacer,0.03529411764705882,Medellín
Aunque,0.03529411764705882,Medellín
noche,0.03529411764705882,Medellín
feliz,0.03529411764705882,Medellín
saber,0.03529411764705882,Medellín
divertida,0.03529411764705882,Medellín
tan,0.03529411764705882,Medellín
octubre,0.03529411764705882,Medellín
puente,0.03529411764705882,Medellín
invitación,0.03529411764705882,Medellín
disfrazar,0.03529411764705882,Medellín
vez,0.03529411764705882,Medellín
Conéctate,0.03529411764705882,Medellín
Decreto,0.03529411764705882,Medellín
bruja,0.03529411764705882,Medellín
van,0.03529411764705882,Medellín
celebración,0.03529411764705882,Medellín
fiesta,0.03529411764705882,Medellín
ley seca,0.03529411764705882,Medellín
toque queda,0.03529411764705882,Medellín
divertida reduce,0.03529411764705882,Medellín
reduce riesgos,0.03529411764705882,Medellín
contagios coronavirus,0.03529411764705882,Medellín
coronavirus Quedémonos,0.03529411764705882,Medellín
acompañemos hijos,0.03529411764705882,Medellín
hijos pasen,0.03529411764705882,Medellín
pasen jornada,0.03529411764705882,Medellín
jornada única,0.03529411764705882,Medellín
hoy viernes,0.03529411764705882,Medellín
igual,0.023529411764705882,Medellín
gente,0.023529411764705882,Medellín
susto,0.023529411764705882,Medellín
QUIERO,0.023529411764705882,Medellín
habla,0.023529411764705882,Medellín
juegos,0.023529411764705882,Medellín
disfrutar,0.023529411764705882,Medellín
cine,0.023529411764705882,Medellín
horror,0.023529411764705882,Medellín
miedo,0.023529411764705882,Medellín
viendo,0.023529411764705882,Medellín
películas,0.023529411764705882,Medellín
nariz,0.023529411764705882,Medellín
traemos,0.023529411764705882,Medellín
luna,0.023529411764705882,Medellín
hacemos,0.023529411764705882,Medellín
party,0.023529411764705882,Medellín
da,0.023529411764705882,Medellín
LLEGA,0.023529411764705882,Medellín
Antioquia,0.023529411764705882,Medellín
navidad,0.023529411764705882,Medellín
Happy,0.023529411764705882,Medellín
cuarentena,0.023529411764705882,Medellín
imaginación,0.023529411764705882,Medellín
alegría,0.023529411764705882,Medellín
departamento,0.023529411764705882,Medellín
atención,0.023529411764705882,Medellín
momento,0.023529411764705882,Medellín
misma,0.023529411764705882,Medellín
espacios,0.023529411764705882,Medellín
corazón,0.023529411764705882,Medellín
escuela,0.023529411764705882,Medellín
queremos,0.023529411764705882,Medellín
sido,0.023529411764705882,Medellín
debe,0.023529411764705882,Medellín
pandemia,0.023529411764705882,Medellín
va,0.023529411764705882,Medellín
tres,0.023529411764705882,Medellín
dejaron,0.023529411764705882,Medellín
campaña,0.023529411764705882,Medellín
temporada,0.023529411764705882,Medellín
llegó,0.023529411764705882,Medellín
invitaciones,0.023529411764705882,Medellín
festividad,0.023529411764705882,Medellín
municipio,0.023529411764705882,Medellín
realizamos,0.023529411764705882,Medellín
contener,0.023529411764705882,Medellín
máximo,0.023529411764705882,Medellín
virtual,0.023529411764705882,Medellín
Vídeo,0.023529411764705882,Medellín
Disfruta,0.023529411764705882,Medellín
calabazas,0.023529411764705882,Medellín
video,0.023529411764705882,Medellín
cada,0.023529411764705882,Medellín
favorita,0.023529411764705882,Medellín
siguiente,0.023529411764705882,Medellín
puta,0.023529411764705882,Medellín
Jey,0.023529411764705882,Medellín
cliente,0.023529411764705882,Medellín
pasado,0.023529411764705882,Medellín
amor,0.023529411764705882,Medellín
aquí,0.023529411764705882,Medellín
consultar,0.023529411764705882,Medellín
Saludo,0.023529411764705882,Medellín
